id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
28134,49,1600000US5442244,"Junior town, West Virginia",150,28214,30906,98,29500,31537,61,30313,0,52,22917,25063
28135,49,1600000US5442292,"Justice CDP, West Virginia",261,35393,37993,189,36406,44687,163,42798,0,72,0,20422
28136,49,1600000US5443180,"Kenova city, West Virginia",1317,34332,41005,712,45051,51165,511,56336,0,605,15481,28741
28137,49,1600000US5443300,"Kermit town, West Virginia",148,42500,42933,91,43859,52135,68,48000,0,57,0,28139
28138,49,1600000US5443492,"Keyser city, West Virginia",1925,36448,43379,1048,43333,52054,691,41769,0,877,27314,32700
28139,49,1600000US5443516,"Keystone city, West Virginia",48,0,29942,26,41250,41192,15,65625,0,22,17083,16645
28140,49,1600000US5443780,"Kimball town, West Virginia",47,42250,47785,39,47917,48274,29,0,0,8,0,0
28141,49,1600000US5443828,"Kimberly CDP, West Virginia",27,0,0,27,0,0,27,0,0,0,0,0
28142,49,1600000US5443852,"Kincaid CDP, West Virginia",54,56429,47933,29,59125,58814,29,59125,0,25,0,0
28143,49,1600000US5444044,"Kingwood city, West Virginia",1196,53116,62799,813,60625,71095,578,83452,0,383,27321,43939
28144,49,1600000US5444188,"Kistler CDP, West Virginia",161,0,47786,81,0,43484,41,90060,0,80,0,52141
28145,49,1600000US5444548,"Kopperston CDP, West Virginia",191,55156,93791,115,48705,55063,115,48705,0,76,0,152391
28146,49,1600000US5445292,"Lashmeet CDP, West Virginia",235,28703,35937,178,0,38949,93,29033,0,57,0,0
28147,49,1600000US5445580,"Lavalette CDP, West Virginia",361,70850,87261,273,72050,104652,273,72050,0,88,26731,33311
28148,49,1600000US5446300,"Leon town, West Virginia",77,28125,39261,69,0,41859,62,0,0,8,0,16850
28149,49,1600000US5446420,"Lesage CDP, West Virginia",403,41552,45523,185,62548,57987,139,62837,0,218,31080,34945
28150,49,1600000US5446468,"Lester town, West Virginia",159,31172,47220,113,35156,53277,92,42500,0,46,30000,29176
28151,49,1600000US5446636,"Lewisburg city, West Virginia",2066,31830,61229,906,76685,86610,742,90521,0,1160,23333,41190
28152,49,1600000US5447788,"Littleton CDP, West Virginia",27,0,0,27,0,0,10,0,0,0,0,0
28153,49,1600000US5448148,"Logan city, West Virginia",798,34574,50149,537,37243,57020,323,48854,0,261,12228,27025
28154,49,1600000US5448748,"Lost Creek town, West Virginia",174,51786,62116,111,60750,68600,73,76875,0,63,21806,41851
28155,49,1600000US5449156,"Lubeck CDP, West Virginia",494,66552,69943,349,75931,75608,250,75833,0,145,0,37837
