key_id,state_id,id,Geographic Area Name,HouseholdsTotal,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),FamiliesTotal,FamiliesMedian income (dollars),FamiliesMean income (dollars),Married-couple familiesTotal,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars)
121,10,0500000US12033,"Escambia County, Florida",120618,53136,73632,73232,66018,87468,47415,83895,107315,47386,35425,48424
122,10,0500000US12035,"Flagler County, Florida",44464,60204,79514,31016,67146,87503,0,72343,0,13448,41257,56904
123,10,0500000US12053,"Hernando County, Florida",78755,51031,62821,52863,60506,72229,40169,65983,0,25892,26726,39158
124,10,0500000US12055,"Highlands County, Florida",43351,48698,65399,27043,57168,73911,0,65004,0,16308,30907,49192
125,10,0500000US12057,"Hillsborough County, Florida",541584,61154,84812,332328,74380,100757,233015,94284,120420,209256,40245,55587
126,10,0500000US12061,"Indian River County, Florida",63917,59782,87627,41851,71865,103154,0,81437,0,22066,35594,53555
127,10,0500000US12069,"Lake County, Florida",139192,57588,75726,93093,70212,87347,73297,79747,97488,46099,35833,48198
128,10,0500000US12071,"Lee County, Florida",286887,62240,88514,188967,74882,102615,148807,84111,116319,97920,40255,57628
129,10,0500000US12073,"Leon County, Florida",116283,54929,75969,63490,76565,98858,40070,106954,128763,52793,32786,45995
130,10,0500000US12081,"Manatee County, Florida",145171,64499,92213,95611,79352,107020,75918,89651,118366,49560,42531,60496
131,10,0500000US12083,"Marion County, Florida",145622,49576,64731,97424,58615,73281,75969,65788,0,48198,30962,44654
132,10,0500000US12085,"Martin County, Florida",65014,70842,110379,40328,87659,128400,0,98427,0,24686,40821,77669
133,10,0500000US12086,"Miami-Dade County, Florida",912805,55171,82803,633834,61413,92403,400251,76831,112591,278971,32130,54954
134,10,0500000US12087,"Monroe County, Florida",32839,68589,106365,18586,90367,129857,0,100706,0,14253,46388,68598
135,10,0500000US12089,"Nassau County, Florida",35212,70939,87206,26702,77896,95737,0,90065,0,8510,41367,58079
136,10,0500000US12091,"Okaloosa County, Florida",76097,64222,85766,48920,81517,102803,38277,93700,0,27177,43063,52112
137,10,0500000US12095,"Orange County, Florida",457949,63461,88304,304654,72065,99713,210566,89788,119341,153295,42918,59707
138,10,0500000US12097,"Osceola County, Florida",111539,51760,68266,77362,57308,75420,54272,65476,0,34177,34062,46156
139,10,0500000US12099,"Palm Beach County, Florida",568915,66623,101876,354512,81212,118602,258674,100104,138566,214403,43088,70542
140,10,0500000US12101,"Pasco County, Florida",212856,55828,73875,144328,69590,87688,106714,81248,0,68528,32066,41740
141,10,0500000US12103,"Pinellas County, Florida",395286,56737,83277,217626,79797,104898,164696,90419,120045,177660,38797,55082
142,10,0500000US12105,"Polk County, Florida",238629,51833,67906,158793,60761,77933,112798,71464,90389,79836,31037,44235
143,10,0500000US12107,"Putnam County, Florida",30866,42899,54394,20436,49177,59356,0,57459,0,10430,26720,35337
144,10,0500000US12109,"St. Johns County, Florida",94761,90356,122115,69164,106096,141879,0,120019,0,25597,47948,63657
145,10,0500000US12111,"St. Lucie County, Florida",116900,58039,72610,77105,70255,84685,57591,80352,93681,39795,32412,45312
146,10,0500000US12113,"Santa Rosa County, Florida",66187,64930,83717,44997,81619,98397,0,89644,0,21190,31612,50303
147,10,0500000US12115,"Sarasota County, Florida",187411,66342,94576,114342,82469,115114,93991,88336,0,73069,45382,60393
148,10,0500000US12117,"Seminole County, Florida",181142,70190,95285,123568,81857,110267,91639,96087,0,57574,44674,59328
149,10,0500000US12119,"Sumter County, Florida",59458,60287,83298,38692,74976,94691,0,77506,0,20766,33510,61711
150,10,0500000US12127,"Volusia County, Florida",219451,53766,70972,138066,65904,82769,101176,75888,92658,81385,31930,48089
151,10,0500000US12131,"Walton County, Florida",26475,60457,79647,17906,76703,96211,0,85841,0,8569,35358,40531
152,11,0500000US13013,"Barrow County, Georgia",27765,69890,77081,20948,76055,85312,0,81528,0,6817,38798,44466
153,11,0500000US13015,"Bartow County, Georgia",39742,59911,70644,28529,68139,81186,0,77098,0,11213,25683,41053
154,11,0500000US13021,"Bibb County, Georgia",56726,42140,67678,33573,55526,82359,20249,86565,0,23153,31197,44536
155,11,0500000US13031,"Bulloch County, Georgia",28660,50436,61191,16526,62194,73917,0,73015,0,12134,29747,38792
156,11,0500000US13045,"Carroll County, Georgia",42798,61133,69895,30346,70575,79859,0,77217,0,12452,36873,41132
157,11,0500000US13047,"Catoosa County, Georgia",24130,61487,71692,17293,67945,81502,0,71477,0,6837,34688,43420
158,11,0500000US13051,"Chatham County, Georgia",107987,57611,80418,65889,71935,95451,42467,93697,0,42098,37108,54008
159,11,0500000US13057,"Cherokee County, Georgia",93441,86404,101950,69257,99250,115203,0,108912,0,24184,47431,61405
160,11,0500000US13059,"Clarke County, Georgia",52124,39799,64933,24041,66725,94365,0,82350,0,28083,30072,36931
161,11,0500000US13063,"Clayton County, Georgia",97030,51093,60225,62746,54658,64616,33573,69401,0,34284,40423,48701
162,11,0500000US13067,"Cobb County, Georgia",286952,79601,108459,191533,97396,127813,141439,115727,145805,95419,50932,66261
163,11,0500000US13073,"Columbia County, Georgia",46890,88761,111034,33620,95776,121005,0,115069,0,13270,60777,83346
164,11,0500000US13077,"Coweta County, Georgia",53640,78423,90034,37400,93872,101862,0,101738,0,16240,46351,54263
165,11,0500000US13089,"DeKalb County, Georgia",289829,63652,94336,157737,85420,119825,102814,112239,148461,132092,43377,61574
166,11,0500000US13095,"Dougherty County, Georgia",32630,35062,51382,18213,46232,66933,0,77905,0,14417,20481,30435
167,11,0500000US13097,"Douglas County, Georgia",48899,62669,80676,32898,78746,97128,0,94298,0,16001,39427,42939
168,11,0500000US13113,"Fayette County, Georgia",41253,92172,128190,33101,108553,142288,0,121262,0,8152,50703,57706
169,11,0500000US13115,"Floyd County, Georgia",35443,50880,68905,23561,63562,82097,0,69243,0,11882,26150,41271
170,11,0500000US13117,"Forsyth County, Georgia",81765,112108,134249,66802,125028,148523,58039,134829,0,14963,52429,66183
171,11,0500000US13121,"Fulton County, Georgia",439578,80013,125680,238444,109818,162352,159639,152182,210071,201134,55624,79242
172,11,0500000US13127,"Glynn County, Georgia",34614,59004,82009,22352,68104,99333,0,97728,0,12262,34190,49208
173,11,0500000US13135,"Gwinnett County, Georgia",301471,72109,93401,230960,80954,101894,175282,95650,114854,70511,46498,58941
