id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
13,14,9500000US1701411,"East Coloma-Nelson Consolidated Elementary School District 20, Illinois",1094,61111,70297,705,67663,77255,551,73295,N,389,41458,52165
14,14,9500000US1701419,"Spring Garden Community Consolidated School District 178, Illinois",929,55481,73217,706,62381,82842,587,69219,N,223,26023,39005
15,14,9500000US1703150,"Addison School District 4, Illinois",12890,70967,88490,9032,81936,99882,6651,95685,N,3858,40490,56757
16,14,9500000US1703210,"Akin Community Consolidated School District 91, Illinois",334,45577,60985,257,57188,68618,222,75500,N,77,26250,34664
17,14,9500000US1703270,"Albers School District 63, Illinois",526,82308,91970,404,92857,100706,353,94196,N,122,42143,60428
18,14,9500000US1703420,"Allen Township Community Consolidated School District 65, Illinois",457,80865,86910,333,89306,97032,268,95000,N,124,36250,55845
19,14,9500000US1703480,"Alsip-Hazelgreen-Oaklawn School District 126, Illinois",6728,67225,80584,3977,80801,96082,2818,93397,N,2751,44354,54410
20,14,9500000US1703750,"Anna Community Consolidated School District 37, Illinois",2462,48160,60854,1683,59414,71725,1204,68590,N,779,30585,34511
21,14,9500000US1703840,"Antioch Community Consolidated School District 34, Illinois",8445,94171,107481,6412,107785,118723,5203,117517,N,2033,43750,66878
22,14,9500000US1703900,"Aptakisic-Tripp Community Consolidated School District, Illinois",7516,102302,132313,5173,131813,156850,4572,142679,N,2343,60625,75935
23,14,9500000US1703930,"Arbor Park School District 145, Illinois",5274,70662,84495,3421,76803,92672,2402,94688,N,1853,53708,65100
24,14,9500000US1704050,"Summit School District 104, Illinois",3643,53144,65984,2633,51232,64773,1640,66184,N,1010,42841,51489
25,14,9500000US1704140,"Arlington Heights School District 25, Illinois",19579,109121,139142,13452,134556,167928,11989,143074,N,6127,55434,75089
26,14,9500000US1704200,"Armstrong-Ellis Consolidated School District 61, Illinois",389,68516,94014,290,84167,113698,233,97708,N,99,40313,34664
27,14,9500000US1704340,"Ashley Community Consolidated School District 15, Illinois",950,51184,61519,609,63533,73572,514,68846,N,341,31438,39418
28,14,9500000US1704560,"Atwood Heights School District 125, Illinois",2899,55164,73211,1795,83050,92616,1383,94955,N,1104,31324,38683
29,14,9500000US1704740,"Aviston School District 21, Illinois",975,83015,97859,744,97708,110558,644,107143,N,231,40662,51328
30,14,9500000US1704800,"Avoca School District 37, Illinois",2404,115882,190517,1855,138090,213660,1512,147500,N,549,64125,105346
31,14,9500000US1704950,"Bannockburn School District 106, Illinois",474,126429,225257,405,145469,237485,354,146875,N,69,108438,148374
32,14,9500000US1705160,"Bartelso School District 57, Illinois",407,95438,96560,312,103636,111803,264,107500,N,95,29750,44647
33,14,9500000US1705190,"Bartonville School District 66, Illinois",792,50192,58527,411,66125,69969,311,83125,N,381,40787,42001
34,14,9500000US1705466,"Marseilles Elementary School District 150, Illinois",1820,61531,65463,1235,75239,75220,945,82401,N,585,33924,43447
35,14,9500000US1705570,"Opdyke-Belle Rive Community Consolidated School District 5, Illinois",678,57614,60827,498,63611,66659,390,67841,N,180,32000,42386
